date,value
2024-01-01,100.2
2024-01-02,102.5
2024-01-03,101.8
2024-01-04,104.1
2024-01-05,103.5
2024-01-06,105.0
2024-01-07,106.2
2024-01-08,104.8
2024-01-09,107.1
2024-01-10,108.5
2024-01-11,107.0
2024-01-12,109.3
2024-01-13,110.0
2024-01-14,108.7
2024-01-15,111.2
2024-01-16,112.5
2024-01-17,111.0
2024-01-18,113.8
2024-01-19,114.2
2024-01-20,112.9
2024-01-21,115.5
2024-01-22,116.0
2024-01-23,114.5
2024-01-24,117.2
2024-01-25,118.1
2024-01-26,116.8
2024-01-27,119.0
2024-01-28,120.3
2024-01-29,118.5
2024-01-30,121.0
